$Water balance Flows: computed flow to complete water balance,
JYH,
JDAY,QWB
44471.58,0
44471.62,0
44471.66,-7.66
44471.7,0
44471.75,1.912
44471.79,0
44471.83,0
44471.87,18.56
44471.91,17.512
44471.95,14.352
44472,4.64
44472.04,0
44472.08,0
44472.12,0
44472.16,28.176
44472.2,0
44472.25,-6.33
44472.29,0
44472.33,7.752
44472.37,0
44472.41,-46.42
44472.45,0
44472.5,-9.76
44472.54,0
44472.58,0
44472.62,0
44472.66,0
44472.7,-4.25
44472.75,0
44472.79,0
44472.83,0
44472.87,7.088
44472.91,15.6
44472.95,16.4
44473,3.112
44473.04,0
44473.08,0
44473.12,0
44473.16,40.92
44473.2,0
44473.25,-2.3
44473.29,0
44473.33,13.6
44473.37,0
44473.41,0
44473.45,0
44473.5,0
44473.54,-6.11
44473.58,0
44473.62,0
44473.66,0
44473.7,0
44473.75,1.544
44473.79,0.28
44473.83,0
44473.87,0.552
44473.91,13.272
44473.95,0
44474,5.88
44474.04,5.832
44474.08,20.456
44474.12,0
44474.16,6.968
44474.2,6.92
44474.25,3.528
44474.29,0
44474.33,-3.1
44474.37,0
44474.41,0
44474.45,0
44474.5,-45.22
44474.54,0
44474.58,29.96
44474.62,0
44474.66,-18
44474.7,0
44474.75,12.504
44474.79,0
44474.83,0
44474.87,2.28
44474.91,22.192
44474.95,0
44475,4.904
44475.04,4.92
44475.08,22.168
44475.12,1.064
44475.16,17.528
44475.2,16.28
44475.25,6.808
44475.29,0
44475.33,0
44475.37,0
44475.41,-18.49
44475.45,-25.43
44475.5,-19.73
44475.54,-5.69
44475.58,-6.88
44475.62,-4.62
44475.66,-4.33
44475.7,-2.28
44475.75,0
44475.79,-2.43
44475.83,-3.95
44475.87,-6.15
44475.91,0
44475.95,-6.56
44476,-0.08
44476.04,0
44476.08,1.256
44476.12,5.216
44476.16,17.152
44476.2,0
44476.25,11.672
44476.29,19.664
44476.33,0
44476.37,0
44476.41,-4.65
44476.45,-13.04
44476.5,-2.61
44476.54,-13.23
44476.58,-5.23
44476.62,0
44476.66,0
44476.7,0
44476.75,0
44476.79,0
44476.83,0
44476.87,0
44476.91,-7.72
44476.95,0
44477,0
44477.04,0
44477.08,-12.39
44477.12,0
44477.16,19.52
44477.2,0
44477.25,0
44477.29,2.808
44477.33,0
44477.37,-3.89
44477.41,-8.3
44477.45,0
44477.5,0
44477.54,0
44477.58,0
44477.62,-5.51
44477.66,-7.55
44477.7,-2.96
44477.75,-1.11
44477.79,-1.8
44477.83,0
44477.87,0
44477.91,11.16
44477.95,8.464
44478,7.352
44478.04,0
44478.08,22.4
44478.12,5.072
44478.16,29.96
44478.2,0
44478.25,4.848
44478.29,25.056
44478.33,0
44478.37,0
44478.41,0
44478.45,-5.02
44478.5,0
44478.54,0
44478.58,-16.51
44478.62,-7.57
44478.66,-7.35
44478.7,0
44478.75,-42.42
44478.79,0
44478.83,2.272
44478.87,0
44478.91,0.712
44478.95,9.688
44479,11.448
44479.04,0
44479.08,15.536
44479.12,0
44479.16,0
44479.2,0
44479.25,8.648
44479.29,0
44479.33,0
44479.37,0
44479.41,-8.71
44479.45,0
44479.5,17.856
44479.54,0
44479.58,0
44479.62,21.064
44479.66,27.288
44479.7,0
44479.75,-23.77
44479.79,-57.94
44479.83,0
44479.87,0
44479.91,-14.67
44479.95,0
44480,0
44480.04,-13.94
44480.08,0
44480.12,0
44480.16,0
44480.2,0
44480.25,0
44480.29,7.328
44480.33,0
44480.37,0
44480.41,0
44480.45,0
44480.5,0
44480.54,0
44480.58,0
44480.62,0
44480.66,0
44480.7,0
44480.75,0
44480.79,0.984
44480.83,0
44480.87,0
44480.91,4.48
44480.95,8.744
44481,0
44481.04,0
44481.08,12.272
44481.12,0
44481.16,0
44481.2,0
44481.25,5.512
44481.29,0
44481.33,0
44481.37,-8.26
44481.41,0
44481.45,3.832
44481.5,0
44481.54,0
44481.58,0
44481.62,3.088
44481.66,0
44481.7,-3.66
44481.75,0
44481.79,2.624
44481.83,0
44481.87,0
44481.91,5.064
44481.95,7.976
44482,2.248
44482.04,2.336
44482.08,7.336
44482.12,0
44482.16,0
44482.2,0
44482.25,0
44482.29,0
44482.33,-26.66
44482.37,-12.82
44482.41,0
44482.45,0
44482.5,0
44482.54,5.728
44482.58,6.544
44482.62,0
44482.66,0
44482.7,0
44482.75,-7.86
44482.79,0
44482.83,-1.09
44482.87,0
44482.91,0.608
44482.95,0
44483,2.288
44483.04,0.904
44483.08,0
44483.12,0
44483.16,1.304
44483.2,14.464
44483.25,8.984
44483.29,0
44483.33,-32.89
44483.37,-13.96
44483.41,0
44483.45,0
44483.5,0
44483.54,0
44483.58,1.392
44483.62,0
44483.66,0
44483.7,0
44483.75,3.72
44483.79,0
44483.83,-6.16
44483.87,0
44483.91,3.152
44483.95,0
44484,-0.86
