$Water balance Flows: computed flow to complete water balance,
MGH,
JDAY,QWB
44462.5,-48.66
44462.54,0
44462.58,189.77
44462.62,0
44462.66,0
44462.7,5.31
44462.75,33.16
44462.79,0
44462.83,1.82
44462.87,114.86
44462.91,0
44462.95,56.77
44463,21.25
44463.04,73.57
44463.08,0
44463.12,14.1
44463.16,42.93
44463.2,112.41
44463.25,4.98
44463.29,16.67
44463.33,58.48
44463.37,54.06
44463.41,19.93
44463.45,0
44463.5,20.07
44463.54,108.56
44463.58,14.85
44463.62,27.92
44463.66,56.28
44463.7,0
44463.75,-195.24
44463.79,0
44463.83,26.75
44463.87,0
44463.91,0
44463.95,0
44464,-1.64
44464.04,0
44464.08,7.98
44464.12,0
44464.16,-39.51
44464.2,0
44464.25,0
44464.29,-38.87
44464.33,0
44464.37,0
44464.41,0
44464.45,0
44464.5,-22.03
44464.54,0
44464.58,0
44464.62,0
44464.66,-26.59
44464.7,0
44464.75,-2.85
44464.79,0
44464.83,0
44464.87,0
44464.91,37.25
44464.95,87.83
44465,53.93
44465.04,0
44465.08,125.61
44465.12,21.27
44465.16,85.97
44465.2,74.17
44465.25,3.47
44465.29,22.13
44465.33,80.44
44465.37,14.45
44465.41,53.37
44465.45,0
44465.5,0
44465.54,0
44465.58,-14.84
44465.62,-17.51
44465.66,0
44465.7,0
44465.75,-42.67
44465.79,-73.89
44465.83,0
44465.87,8.06
44465.91,8.82
44465.95,0
44466,-5.64
44466.04,-4.62
44466.08,0
44466.12,0
44466.16,-263.34
44466.2,0
44466.25,185.22
44466.29,0
44466.33,0
44466.37,0
44466.41,0
44466.45,0
44466.5,0
44466.54,0
44466.58,0
44466.62,0
44466.66,-19.71
44466.7,0
44466.75,0
44466.79,0
44466.83,0
44466.87,1.8
44466.91,0
44466.95,0
44467,75.51
44467.04,71.93
44467.08,117.35
44467.12,0
44467.16,9.11
44467.2,0
44467.25,81.74
44467.29,0
44467.33,-15.93
44467.37,0
44467.41,0
44467.45,0
44467.5,3.41
44467.54,18.63
44467.58,97.56
44467.62,0
44467.66,0
44467.7,0
44467.75,86.3
44467.79,0
44467.83,2.42
44467.87,0
44467.91,59.71
44467.95,0
44468,64.33
44468.04,91.82
44468.08,54.17
44468.12,6.05
44468.16,91.4
44468.2,0
44468.25,62.09
44468.29,98.4
44468.33,0
44468.37,0
44468.41,0
44468.45,36.05
44468.5,0
44468.54,0
44468.58,0
44468.62,48.19
44468.66,0
44468.7,0
44468.75,55.81
44468.79,63.63
44468.83,0
44468.87,49.31
44468.91,28.05
44468.95,76.73
44469,12.07
44469.04,83.59
44469.08,45.45
44469.12,59.21
44469.16,94.34
44469.2,0
44469.25,64.62
44469.29,79.42
44469.33,4.45
44469.37,9.14
44469.41,54.21
44469.45,23.71
44469.5,17.78
44469.54,8.19
44469.58,62.58
44469.62,23.11
44469.66,40.45
44469.7,10.54
44469.75,15.22
44469.79,35.79
44469.83,20.49
44469.87,60.36
44469.91,27.14
44469.95,0
44470,96.36
44470.04,158.92
44470.08,96.65
44470.12,153
44470.16,108.14
44470.2,0
44470.25,-174.78
44470.29,0
44470.33,0
44470.37,0
44470.41,-58.69
44470.45,0
44470.5,0
44470.54,0
44470.58,-227.71
44470.62,0
44470.66,0
44470.7,0
44470.75,-107.64
44470.79,0
44470.83,264.25
44470.87,0
44470.91,0
44470.95,114.77
44471,101.9
44471.04,152.09
44471.08,219.18
44471.12,0
44471.16,0
44471.2,0.4
44471.25,48.38
44471.29,0
44471.33,-50.88
44471.37,-4.36
44471.41,-111.85
44471.45,0
44471.5,-23.28
44471.54,0
44471.58,0
44471.62,0
44471.66,-52.24
44471.7,0
44471.75,16.31
44471.79,0
44471.83,0
44471.87,158.25
44471.91,149.32
44471.95,122.39
44472,39.54
44472.04,0
44472.08,0
44472.12,0
44472.16,240.27
44472.2,0
44472.25,-43.17
44472.29,0
44472.33,66.12
44472.37,0
44472.41,-316.67
44472.45,0
44472.5,-66.55
44472.54,0
44472.58,0
44472.62,0
44472.66,0
44472.7,-29
44472.75,0
44472.79,0
44472.83,0
44472.87,60.41
44472.91,133
44472.95,139.87
44473,26.56
44473.04,0
44473.08,0
44473.12,0
44473.16,348.93
44473.2,0
44473.25,-15.72
44473.29,0
44473.33,115.95
44473.37,0
44473.41,0
44473.45,0
44473.5,0
44473.54,-41.65
44473.58,0
44473.62,0
44473.66,0
44473.7,0
44473.75,13.19
44473.79,2.42
44473.83,0
44473.87,4.69
44473.91,113.18
44473.95,0
44474,50.15
44474.04,49.76
44474.08,174.39
44474.12,0
44474.16,59.42
44474.2,59.01
44474.25,30.12
44474.29,0
44474.33,-21.15
44474.37,0
44474.41,0
44474.45,0
44474.5,-308.48
44474.54,0
44474.58,255.43
44474.62,0
44474.66,-122.77
44474.7,0
44474.75,106.61
44474.79,0
44474.83,0
44474.87,19.42
44474.91,189.24
44474.95,0
44475,41.81
44475.04,41.95
44475.08,189.03
44475.12,9.04
44475.16,149.43
44475.2,138.81
44475.25,58.05
44475.29,0
44475.33,0
44475.37,0
44475.41,-126.12
44475.45,-173.48
44475.5,-134.55
44475.54,-38.8
44475.58,-46.93
44475.62,-31.55
44475.66,-29.52
44475.7,-15.55
44475.75,0
44475.79,-16.56
44475.83,-26.93
44475.87,-41.96
44475.91,0
44475.95,-44.72
44476,-0.54
44476.04,0
44476.08,10.68
44476.12,44.44
44476.16,146.27
44476.2,0
44476.25,99.55
44476.29,167.64
44476.33,0
44476.37,0
44476.41,-31.7
44476.45,-88.98
44476.5,-17.78
44476.54,-90.24
44476.58,-35.68
44476.62,0
44476.66,0
44476.7,0
44476.75,0
44476.79,0
44476.83,0
44476.87,0
44476.91,-52.68
44476.95,0
44477,0
44477.04,0
44477.08,-84.53
44477.12,0
44477.16,166.41
44477.2,0
44477.25,0
44477.29,23.95
44477.33,0
44477.37,-26.52
44477.41,-56.63
44477.45,0
44477.5,0
44477.54,0
44477.58,0
44477.62,-37.61
44477.66,-51.51
44477.7,-20.21
44477.75,-7.54
44477.79,-12.29
44477.83,0
44477.87,0
44477.91,95.19
44477.95,72.17
44478,62.68
44478.04,0
44478.08,190.99
44478.12,43.23
44478.16,255.46
44478.2,0
44478.25,41.33
44478.29,213.65
44478.33,0
44478.37,0
44478.41,0
44478.45,-34.24
44478.5,0
44478.54,0
44478.58,-112.6
44478.62,-51.67
44478.66,-50.15
44478.7,0
44478.75,-289.38
44478.79,0
44478.83,19.37
44478.87,0
44478.91,6.06
44478.95,82.61
44479,97.62
44479.04,0
44479.08,132.44
44479.12,0
44479.16,0
44479.2,0
44479.25,73.76
44479.29,0
44479.33,0
44479.37,0
44479.41,-59.45
44479.45,0
44479.5,152.24
44479.54,0
44479.58,0
44479.62,179.63
44479.66,232.7
44479.7,0
44479.75,-162.14
44479.79,-395.22
44479.83,0
44479.87,0
44479.91,-100.06
44479.95,0
44480,0
44480.04,-95.09
44480.08,0
44480.12,0
44480.16,0
44480.2,0
44480.25,0
44480.29,62.48
44480.33,0
44480.37,0
44480.41,0
44480.45,0
44480.5,0
44480.54,0
44480.58,0
44480.62,0
44480.66,0
44480.7,0
44480.75,0
44480.79,8.41
44480.83,0
44480.87,0
44480.91,38.18
44480.95,74.59
44481,0
44481.04,0
44481.08,104.64
44481.12,0
44481.16,0
44481.2,0
44481.25,46.99
44481.29,0
44481.33,0
44481.37,-56.37
44481.41,0
44481.45,32.67
44481.5,0
44481.54,0
44481.58,0
44481.62,26.33
44481.66,0
44481.7,-24.93
44481.75,0
44481.79,22.39
44481.83,0
44481.87,0
44481.91,43.2
44481.95,68.01
44482,19.15
44482.04,19.89
44482.08,62.54
44482.12,0
44482.16,0
44482.2,0
44482.25,0
44482.29,0
44482.33,-181.89
44482.37,-87.48
44482.41,0
44482.45,0
44482.5,0
44482.54,48.82
44482.58,55.78
44482.62,0
44482.66,0
44482.7,0
44482.75,-53.63
44482.79,0
44482.83,-7.42
44482.87,0
44482.91,5.19
44482.95,0
44483,19.51
44483.04,7.74
44483.08,0
44483.12,0
44483.16,11.15
44483.2,123.3
44483.25,76.61
44483.29,0
44483.33,-224.37
44483.37,-95.22
44483.41,0
44483.45,0
44483.5,0
44483.54,0
44483.58,11.86
44483.62,0
44483.66,0
44483.7,0
44483.75,31.75
44483.79,0
44483.83,-41.99
44483.87,0
44483.91,26.88
44483.95,0
44484,-5.9
