$Water balance Flows: computed flow to complete water balance,
XXH,
JDAY,QWB
44462.66,0
44462.7,4.9
44462.75,30.6
44462.79,0
44462.83,1.68
44462.87,105.98
44462.91,0
44462.95,52.37
44463,19.61
44463.04,67.88
44463.08,0
44463.12,13.01
44463.16,39.61
44463.2,103.72
44463.25,4.6
44463.29,15.38
44463.33,53.96
44463.37,49.88
44463.41,18.38
44463.45,0
44463.5,18.52
44463.54,100.16
44463.58,13.7
44463.62,25.76
44463.66,51.92
44463.7,0
44463.75,-180.14
44463.79,0
44463.83,24.69
44463.87,0
44463.91,0
44463.95,0
44464,-1.52
44464.04,0
44464.08,7.37
44464.12,0
44464.16,-36.45
44464.2,0
44464.25,0
44464.29,-35.86
44464.33,0
44464.37,0
44464.41,0
44464.45,0
44464.5,-20.32
44464.54,0
44464.58,0
44464.62,0
44464.66,-24.53
44464.7,0
44464.75,-2.63
44464.79,0
44464.83,0
44464.87,0
44464.91,34.37
44464.95,81.03
44465,49.76
44465.04,0
44465.08,115.9
44465.12,19.62
44465.16,79.32
44465.2,68.43
44465.25,3.21
44465.29,20.42
44465.33,74.22
44465.37,13.34
44465.41,49.24
44465.45,0
44465.5,0
44465.54,0
44465.58,-13.69
44465.62,-16.16
44465.66,0
44465.7,0
44465.75,-39.37
44465.79,-68.17
44465.83,0
44465.87,7.43
44465.91,8.14
44465.95,0
44466,-5.2
44466.04,-4.26
44466.08,0
44466.12,0
44466.16,-242.97
44466.2,0
44466.25,170.89
44466.29,0
44466.33,0
44466.37,0
44466.41,0
44466.45,0
44466.5,0
44466.54,0
44466.58,0
44466.62,0
44466.66,-18.18
44466.7,0
44466.75,0
44466.79,0
44466.83,0
44466.87,1.67
44466.91,0
44466.95,0
44467,69.67
44467.04,66.37
44467.08,108.27
44467.12,0
44467.16,8.4
44467.2,0
44467.25,75.41
44467.29,0
44467.33,-14.7
44467.37,0
44467.41,0
44467.45,0
44467.5,3.14
44467.54,17.19
44467.58,90.02
44467.62,0
44467.66,0
44467.7,0
44467.75,79.62
44467.79,0
44467.83,2.23
44467.87,0
44467.91,55.09
44467.95,0
44468,59.35
44468.04,84.72
44468.08,49.98
44468.12,5.58
44468.16,84.33
44468.2,0
44468.25,57.29
44468.29,90.79
44468.33,0
44468.37,0
44468.41,0
44468.45,33.26
44468.5,0
44468.54,0
44468.58,0
44468.62,44.46
44468.66,0
44468.7,0
44468.75,51.49
44468.79,58.71
44468.83,0
44468.87,45.5
44468.91,25.88
44468.95,70.79
44469,11.13
44469.04,77.12
44469.08,41.94
44469.12,54.63
44469.16,87.04
44469.2,0
44469.25,59.62
44469.29,73.28
44469.33,4.1
44469.37,8.43
44469.41,50.02
44469.45,21.87
44469.5,16.4
44469.54,7.56
44469.58,57.74
44469.62,21.32
44469.66,37.32
44469.7,9.73
44469.75,14.04
44469.79,33.02
44469.83,18.9
44469.87,55.69
44469.91,25.04
44469.95,0
44470,88.91
44470.04,146.62
44470.08,89.18
44470.12,141.17
44470.16,99.77
44470.2,0
44470.25,-161.26
44470.29,0
44470.33,0
44470.37,0
44470.41,-54.15
44470.45,0
44470.5,0
44470.54,0
44470.58,-210.1
44470.62,0
44470.66,0
44470.7,0
44470.75,-99.32
44470.79,0
44470.83,243.81
44470.87,0
44470.91,0
44470.95,105.89
44471,94.02
44471.04,140.32
44471.08,202.23
44471.12,0
44471.16,0
44471.2,0.37
44471.25,44.64
44471.29,0
44471.33,-46.95
44471.37,-4.02
44471.41,-103.2
44471.45,0
44471.5,-21.48
44471.54,0
44471.58,0
44471.62,0
44471.66,-48.2
44471.7,0
44471.75,15.04
44471.79,0
44471.83,0
44471.87,146.01
44471.91,137.77
44471.95,112.92
44472,36.49
44472.04,0
44472.08,0
44472.12,0
44472.16,221.68
44472.2,0
44472.25,-39.83
44472.29,0
44472.33,61
44472.37,0
44472.41,-292.17
44472.45,0
44472.5,-61.4
44472.54,0
44472.58,0
44472.62,0
44472.66,0
44472.7,-26.76
44472.75,0
44472.79,0
44472.83,0
44472.87,55.74
44472.91,122.71
44472.95,129.05
44473,24.51
44473.04,0
44473.08,0
44473.12,0
44473.16,321.94
44473.2,0
44473.25,-14.5
44473.29,0
44473.33,106.98
44473.37,0
44473.41,0
44473.45,0
44473.5,0
44473.54,-38.43
44473.58,0
44473.62,0
44473.66,0
44473.7,0
44473.75,12.17
44473.79,2.23
44473.83,0
44473.87,4.33
44473.91,104.43
44473.95,0
44474,46.28
44474.04,45.91
44474.08,160.91
44474.12,0
44474.16,54.82
44474.2,54.44
44474.25,27.79
44474.29,0
44474.33,-19.52
44474.37,0
44474.41,0
44474.45,0
44474.5,-284.62
44474.54,0
44474.58,235.67
44474.62,0
44474.66,-113.27
44474.7,0
44474.75,98.37
44474.79,0
44474.83,0
44474.87,17.92
44474.91,174.6
44474.95,0
44475,38.58
44475.04,38.71
44475.08,174.41
44475.12,8.34
44475.16,137.87
44475.2,128.08
44475.25,53.56
44475.29,0
44475.33,0
44475.37,0
44475.41,-116.37
44475.45,-160.07
44475.5,-124.15
44475.54,-35.8
44475.58,-43.3
44475.62,-29.11
44475.66,-27.24
44475.7,-14.35
44475.75,0
44475.79,-15.28
44475.83,-24.85
44475.87,-38.71
44475.91,0
44475.95,-41.26
44476,-0.5
44476.04,0
44476.08,9.85
44476.12,41
44476.16,134.96
44476.2,0
44476.25,91.85
44476.29,154.67
44476.33,0
44476.37,0
44476.41,-29.25
44476.45,-82.1
44476.5,-16.4
44476.54,-83.26
44476.58,-32.92
44476.62,0
44476.66,0
