JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40582.420,   100.327,    23.470,     4.623,     0.239,  4895.629,   250.929,     0.000,    18.464,  1696.259,     1.000,     4.623,   150.297,   236.726,   261.063,   328.026,    15.393,     4.073,     0.000,
 40582.462,   101.894,    23.469,     4.642,     0.267,  4926.766,   123.314,     0.000,    18.463,  1696.259,     1.000,     4.642,    45.430,   116.334,   252.004,   328.114,    11.000,   -16.207,     0.000,
 40582.503,    91.781,    23.465,     4.662,     0.242,  5025.199,     0.000,     0.000,    18.459,  1696.259,     1.000,     4.662,   -22.968,     0.000,   297.227,   328.211,    11.227,   -19.243,     0.000,
 40582.545,    95.229,    23.466,     4.683,     0.250,  5052.909,   255.541,     0.000,    18.460,  1696.259,     1.000,     4.683,   219.391,   241.076,   302.529,   328.311,    20.710,   -24.806,     0.000,
 40582.587,    88.124,    23.467,     4.697,     0.270,  5025.477,   109.277,     0.000,    18.461,  1696.259,     1.000,     4.697,    42.752,   103.092,   269.325,   328.375,    19.036,   -17.747,     0.000,
 40582.628,    86.035,    23.460,     4.707,     0.247,  5077.016,     0.000,     0.000,    18.454,  1696.259,     1.000,     4.707,    -9.517,     0.000,   313.273,   328.423,    25.638,   -31.270,     0.000,
 40582.670,    88.351,    23.458,     4.715,     0.251,  5140.809,   343.002,     0.000,    18.452,  1696.259,     1.000,     4.715,   285.450,   323.587,   298.364,   328.464,    36.654,   -28.618,     0.000,
 40582.712,    94.063,    23.458,     4.716,     0.261,  5173.840,   126.806,     0.000,    18.452,  1696.259,     1.000,     4.716,    33.085,   119.628,   254.037,   328.469,    31.628,   -19.516,     0.000,
 40582.754,    83.974,    23.456,     4.712,     0.270,  5085.946,     0.000,     0.000,    18.450,  1696.259,     1.000,     4.712,   -94.452,     0.000,   246.159,   328.449,    19.575,    -7.414,     0.000,
 40582.795,    88.856,    23.456,     4.706,     0.248,  5142.031,     0.000,     0.000,    18.450,  1696.259,     1.000,     4.706,   -65.745,     0.000,   278.605,   328.419,    18.325,    -2.394,     0.000,
 40582.837,    85.488,    23.455,     4.694,     0.275,  5175.646,   129.195,     0.000,    18.449,  1696.259,     1.000,     4.694,     7.643,   121.882,   238.254,   328.368,    20.387,     3.738,     0.000,
 40582.879,    79.346,    23.451,     4.679,     0.361,  5208.196,     0.000,     0.000,    18.445,  1696.259,     1.000,     4.679,  -117.142,     0.000,   251.563,   328.294,    22.713,    17.699,     0.000,
 40582.920,    87.359,    23.450,     4.661,     0.292,  5238.114,   142.617,     0.000,    18.444,  1696.259,     1.000,     4.661,    34.385,   134.544,   264.668,   328.210,    19.476,    17.140,     0.000,
 40582.962,    78.926,    23.450,     4.635,     0.265,  5377.201,    79.284,     0.000,    18.444,  1696.259,     1.000,     4.635,   -46.685,    74.796,   250.364,   328.087,    24.298,    19.461,     0.000,
 40583.004,    83.675,    23.449,     4.595,     0.287,  5376.343,     0.000,     0.000,    18.443,  1696.259,     1.000,     4.595,  -113.856,     0.000,   258.066,   327.902,    22.260,    21.760,     0.000,
 40583.046,    77.093,    23.450,     4.549,     0.383,  5386.389,     4.118,     0.000,    18.444,  1696.259,     1.000,     4.549,  -144.270,     3.885,   226.848,   327.684,    22.200,    25.120,     0.000,
 40583.087,    78.118,    23.451,     4.509,     0.284,  5426.381,   129.589,     0.000,    18.445,  1696.259,     1.000,     4.509,   -32.699,   122.253,   220.204,   327.492,    22.655,    25.010,     0.000,
 40583.129,    81.983,    23.452,     4.481,     0.294,  5445.088,     0.000,     0.000,    18.446,  1696.259,     1.000,     4.481,  -156.855,     0.000,   219.442,   327.362,    22.961,    25.974,     0.000,
 40583.171,    77.756,    23.454,     4.462,     0.294,  5482.865,   778.885,     0.000,    18.448,  1696.259,     1.000,     4.462,   578.841,   734.797,   221.043,   327.270,    23.436,    26.292,     0.000,
 40583.212,    79.979,    23.453,     4.447,     0.285,  5575.225,    90.454,     0.000,    18.447,  1696.259,     1.000,     4.447,   -58.992,    85.334,   235.004,   327.200,    23.956,    28.174,     0.000,
 40583.254,    75.556,    23.456,     4.443,     0.386,  5518.016,     0.000,     0.000,    18.450,  1696.259,     1.000,     4.443,  -167.921,     0.000,   215.802,   327.179,    25.380,    31.164,     0.000,
 40583.296,    76.594,    23.457,     4.445,     0.304,  5578.222,   362.163,     0.000,    18.451,  1696.259,     1.000,     4.445,   154.274,   341.664,   215.614,   327.188,    34.158,    41.657,     0.000,
 40583.337,    77.865,    23.459,     4.447,     0.306,  5599.694,   129.589,     0.000,    18.453,  1696.259,     1.000,     4.447,   -45.731,   122.253,   215.920,   327.198,    25.747,    30.959,     0.000,
 40583.379,    78.151,    23.459,     4.452,     0.279,  5636.670,     0.000,     0.000,    18.453,  1696.259,     1.000,     4.452,  -140.429,     0.000,   225.598,   327.219,    21.301,    17.507,     0.000,
 40583.421,    76.079,    23.464,     4.461,     0.405,  5691.549,   152.664,     0.000,    18.458,  1696.259,     1.000,     4.461,    23.960,   144.023,   233.859,   327.262,    19.144,     7.517,     0.000,
 40583.462,    76.244,    23.464,     4.476,     0.286,  5660.813,    86.429,     0.000,    18.458,  1696.259,     1.000,     4.476,     0.904,    81.537,   263.588,   327.333,    18.831,    -1.944,     0.000,
 40583.504,    81.145,    23.466,     4.497,     0.350,  5767.575,     0.000,     0.000,    18.460,  1696.259,     1.000,     4.497,   -86.760,     0.000,   250.624,   327.430,    18.525,    -8.572,     0.000,
 40583.546,    77.710,    23.466,     4.520,     0.281,  5735.810,   678.725,     0.000,    18.460,  1696.259,     1.000,     4.520,   558.762,   640.306,   251.009,   327.538,    17.362,   -12.346,     0.000,
 40583.587,    77.744,    23.475,     4.540,     0.318,  5806.218,   129.589,     0.000,    18.469,  1696.259,     1.000,     4.540,    58.534,   122.253,   261.779,   327.634,    18.645,   -20.781,     0.000,
 40583.629,    80.401,    23.473,     4.548,     0.301,  5873.076,     0.000,     0.000,    18.467,  1696.259,     1.000,     4.548,   -69.363,     0.000,   260.505,   327.676,    21.943,   -19.750,     0.000,
 40583.671,    76.926,    23.478,     4.542,     0.263,  5845.070,   349.350,     0.000,    18.472,  1696.259,     1.000,     4.542,   263.756,   329.576,   261.385,   327.645,    20.024,   -20.465,     0.000,
 40583.712,    85.840,    23.478,     4.530,     0.359,  5866.109,   129.589,     0.000,    18.472,  1696.259,     1.000,     4.530,    38.704,   122.253,   250.367,   327.590,    18.109,   -11.781,     0.000,
 40583.753,    95.366,    23.483,     4.504,     0.400,  5309.483,     0.000,     0.000,    18.477,  1696.259,     1.000,     4.504,  -103.320,     0.000,   240.879,   327.473,    16.862,    -0.136,     0.000,
 40583.795,    92.032,    23.489,     4.472,     0.438,  5678.945,   861.167,     0.000,    18.483,  1696.259,     1.000,     4.472,   692.427,   812.422,   235.356,   327.320,    20.868,     7.162,     0.000,
 40583.837,    92.035,    23.492,     4.442,     0.450,  5896.894,   129.589,     0.000,    18.486,  1696.259,     1.000,     4.442,    -7.898,   122.254,   229.041,   327.177,    18.887,    13.129,     0.000,
 40583.878,    92.206,    23.498,     4.422,     0.474,  5916.174,     0.000,     0.000,    18.492,  1696.259,     1.000,     4.422,  -132.420,     0.000,   227.959,   327.083,    18.913,    14.384,     0.000,
 40583.920,    92.940,    23.503,     4.405,     0.479,  6032.843,   529.444,     0.000,    18.497,  1696.259,     1.000,     4.405,   355.473,   499.476,   223.271,   327.004,    19.903,    20.367,     0.000,
 40583.962,    91.899,    23.510,     4.400,     0.500,  6131.361,   129.589,     0.000,    18.504,  1865.885,     1.000,     4.400,   -21.213,   122.254,   223.694,   326.973,    20.414,    19.774,     0.000,
 40584.003,    95.220,    23.514,     4.417,     0.508,  6152.657,     0.000,     0.000,    18.508,  1865.885,     1.000,     4.417,  -150.619,     0.000,   221.230,   327.056,    21.588,    23.205,     0.000,
 40584.045,    98.728,    23.519,     4.444,     0.497,  6189.058,     0.000,     0.000,    18.513,  1865.885,     1.000,     4.444,  -173.261,     0.000,   219.181,   327.180,    30.206,    35.056,     0.000,
 40584.087,    97.781,    23.527,     4.473,     0.479,  6123.540,   123.314,     0.000,    18.521,  1865.885,     1.000,     4.473,   -40.837,   116.334,   221.035,   327.315,    23.272,    27.619,     0.000,
 40584.128,    94.349,    23.531,     4.504,     0.494,  6242.225,     0.000,     0.000,    18.525,  1865.885,     1.000,     4.504,  -125.892,     0.000,   255.937,   327.462,    25.138,    29.228,     0.000,
 40584.170,    60.546,    23.537,     4.540,     0.259,  6912.602,     0.000,     0.000,    18.531,  1865.885,     1.000,     4.540,  -128.499,     0.000,   253.319,   327.634,    24.569,    29.616,     0.000,
 40584.212,    61.713,    23.538,     4.570,     0.243,  6632.842,    90.454,     0.000,    18.532,  1865.885,     1.000,     4.570,   -57.719,    85.334,   235.792,   327.776,    23.404,    27.665,     0.000,
 40584.254,    64.993,    23.543,     4.588,     0.236,  6408.871,     0.000,     0.000,    18.537,  1865.885,     1.000,     4.588,  -169.204,     0.000,   217.236,   327.863,    26.066,    32.511,     0.000,
 40584.295,    61.221,    23.546,     4.595,     0.215,  6260.360,   286.264,     0.000,    18.540,  1865.885,     1.000,     4.595,    93.386,   270.060,   217.251,   327.898,    29.570,    36.456,     0.000,
 40584.337,    61.117,    23.548,     4.596,     0.234,  6291.774,   129.589,     0.000,    18.542,  1865.885,     1.000,     4.596,   -39.637,   122.253,   217.998,   327.899,    23.459,    28.530,     0.000,
 40584.379,    64.140,    23.549,     4.591,     0.230,  6276.794,     0.000,     0.000,    18.543,  1865.885,     1.000,     4.591,  -148.732,     0.000,   221.928,   327.879,    19.800,    22.981,     0.000,
 40584.420,    63.395,    23.551,     4.585,     0.230,  6225.568,   924.426,     0.000,    18.545,  1865.885,     1.000,     4.585,   739.745,   872.100,   227.008,   327.850,    15.230,    16.283,     0.000,
 40584.462,    61.428,    23.550,     4.581,     0.244,  6318.579,   129.589,     0.000,    18.544,  1865.885,     1.000,     4.581,    14.420,   122.254,   237.249,   327.829,    13.114,     4.140,     0.000,
 40584.504,    63.114,    23.552,     4.581,     0.238,  6248.016,     0.000,     0.000,    18.546,  1865.885,     1.000,     4.581,   -85.456,     0.000,   245.060,   327.829,     9.928,    -7.240,     0.000,
 40584.545,    62.986,    23.551,     4.585,     0.235,  6260.693,     0.000,     0.000,    18.545,  1865.885,     1.000,     4.585,   -71.325,     0.000,   253.315,   327.848,    10.704,   -13.912,     0.000,
 40584.587,    62.669,    23.552,     4.594,     0.232,  6298.547,   129.589,     0.000,    18.546,  1865.885,     1.000,     4.594,    80.028,   122.254,   268.617,   327.890,     8.760,   -25.808,     0.000,
