$Water balance Flows: computed flow to complete water balance,
NLJ,
JDAY,QWB
44459.75,0
44459.79,0
44459.83,0
44459.87,0
44459.91,0
44459.95,0
44460,89.49
44460.04,0
44460.08,86.71
44460.12,182
44460.16,418.07
44460.2,0
44460.25,0
44460.29,190.47
44460.33,0
44460.37,136.82
44460.41,82.24
44460.45,46.33
44460.5,0
44460.54,124.93
44460.58,54.16
44460.62,152.24
44460.66,99.32
44460.7,0
44460.75,74.08
44460.79,124.49
44460.83,75.9
44460.87,1.35
44460.91,96.87
44460.95,78.16
44461,54.2
44461.04,5.31
44461.08,103.72
44461.12,27.53
44461.16,230.09
44461.2,0
44461.25,186.12
44461.29,95.96
44461.33,110.91
44461.37,0
44461.41,-678.48
44461.45,0
44461.5,0
44461.54,-410.95
44461.58,-448.54
44461.62,-644.24
44461.66,0
44461.7,0
44461.75,0
44461.79,-434.55
44461.83,0
44461.87,-17.51
44461.91,-416.58
44461.95,0
44462,-275.53
44462.04,0
44462.08,631.79
44462.12,0
44462.16,0
44462.2,0
44462.25,0
44462.29,-349.57
44462.33,-327.28
44462.37,0
44462.41,0
44462.45,0
44462.5,-89.92
44462.54,0
44462.58,350.64
44462.62,0
44462.66,0
44462.7,9.82
44462.75,61.27
44462.79,0
44462.83,3.36
44462.87,212.24
44462.91,0
44462.95,104.89
44463,39.27
44463.04,135.95
44463.08,0
44463.12,26.05
44463.16,79.33
44463.2,207.71
44463.25,9.21
44463.29,30.8
44463.33,108.06
44463.37,99.88
44463.41,36.82
44463.45,0
44463.5,37.08
44463.54,200.59
44463.58,27.44
44463.62,51.59
44463.66,103.98
44463.7,0
44463.75,-360.76
44463.79,0
44463.83,49.44
44463.87,0
44463.91,0
44463.95,0
44464,-3.04
44464.04,0
44464.08,14.75
44464.12,0
44464.16,-73
44464.2,0
44464.25,0
44464.29,-71.82
44464.33,0
44464.37,0
44464.41,0
44464.45,0
44464.5,-40.7
44464.54,0
44464.58,0
44464.62,0
44464.66,-49.13
44464.7,0
44464.75,-5.26
44464.79,0
44464.83,0
44464.87,0
44464.91,68.84
44464.95,162.28
44465,99.65
44465.04,0
44465.08,232.1
44465.12,39.29
44465.16,158.85
44465.2,137.05
44465.25,6.42
44465.29,40.89
44465.33,148.63
44465.37,26.71
44465.41,98.61
44465.45,0
44465.5,0
44465.54,0
44465.58,-27.42
44465.62,-32.35
44465.66,0
44465.7,0
44465.75,-78.85
44465.79,-136.53
44465.83,0
44465.87,14.89
44465.91,16.31
44465.95,0
44466,-10.42
44466.04,-8.54
44466.08,0
44466.12,0
44466.16,-486.58
44466.2,0
44466.25,342.24
44466.29,0
44466.33,0
44466.37,0
44466.41,0
44466.45,0
44466.5,0
44466.54,0
44466.58,0
44466.62,0
44466.66,-36.42
44466.7,0
44466.75,0
44466.79,0
44466.83,0
44466.87,3.33
44466.91,0
44466.95,0
44467,139.53
44467.04,132.91
44467.08,216.83
44467.12,0
44467.16,16.83
44467.2,0
44467.25,151.03
44467.29,0
44467.33,-29.44
44467.37,0
44467.41,0
44467.45,0
44467.5,6.3
44467.54,34.42
44467.58,180.27
44467.62,0
44467.66,0
44467.7,0
44467.75,159.45
44467.79,0
44467.83,4.46
44467.87,0
44467.91,110.32
44467.95,0
44468,118.86
44468.04,169.66
44468.08,100.1
44468.12,11.18
44468.16,168.88
44468.2,0
44468.25,114.73
44468.29,181.82
44468.33,0
44468.37,0
44468.41,0
44468.45,66.61
44468.5,0
44468.54,0
44468.58,0
44468.62,89.04
44468.66,0
44468.7,0
44468.75,103.12
44468.79,117.57
44468.83,0
44468.87,91.11
44468.91,51.83
44468.95,141.77
44469,22.3
44469.04,154.45
44469.08,83.99
44469.12,109.41
44469.16,174.32
44469.2,0
44469.25,119.41
44469.29,146.75
44469.33,8.22
44469.37,16.88
44469.41,100.17
44469.45,43.81
44469.5,32.85
44469.54,15.14
44469.58,115.63
44469.62,42.71
44469.66,74.74
44469.7,19.48
44469.75,28.12
44469.79,66.13
44469.83,37.85
44469.87,111.53
44469.91,50.15
44469.95,0
44470,178.05
44470.04,293.64
44470.08,178.59
44470.12,282.71
44470.16,199.81
44470.2,0
44470.25,-322.94
44470.29,0
44470.33,0
44470.37,0
44470.41,-108.45
44470.45,0
44470.5,0
44470.54,0
44470.58,-420.75
44470.62,0
44470.66,0
44470.7,0
44470.75,-198.9
44470.79,0
44470.83,488.27
44470.87,0
44470.91,0
44470.95,212.07
44471,188.29
44471.04,281.02
44471.08,405
44471.12,0
44471.16,0
44471.2,0.74
44471.25,89.39
44471.29,0
44471.33,-94.02
44471.37,-8.06
44471.41,-206.67
44471.45,0
44471.5,-43.01
44471.54,0
44471.58,0
44471.62,0
44471.66,-96.53
44471.7,0
44471.75,30.13
44471.79,0
44471.83,0
44471.87,292.41
44471.91,275.91
44471.95,226.15
44472,73.07
44472.04,0
44472.08,0
44472.12,0
44472.16,443.95
44472.2,0
44472.25,-79.76
44472.29,0
44472.33,122.17
44472.37,0
44472.41,-585.12
44472.45,0
44472.5,-122.97
44472.54,0
44472.58,0
44472.62,0
44472.66,0
44472.7,-53.58
44472.75,0
44472.79,0
44472.83,0
44472.87,111.62
44472.91,245.75
44472.95,258.44
44473,49.08
44473.04,0
44473.08,0
44473.12,0
44473.16,644.74
44473.2,0
44473.25,-29.05
44473.29,0
44473.33,214.24
44473.37,0
44473.41,0
44473.45,0
44473.5,0
44473.54,-76.96
44473.58,0
44473.62,0
44473.66,0
44473.7,0
44473.75,24.38
44473.79,4.46
44473.83,0
44473.87,8.67
44473.91,209.13
44473.95,0
44474,92.67
44474.04,91.95
44474.08,322.24
44474.12,0
44474.16,109.79
44474.2,109.03
44474.25,55.65
44474.29,0
44474.33,-39.08
44474.37,0
44474.41,0
44474.45,0
44474.5,-569.99
44474.54,0
44474.58,471.97
44474.62,0
44474.66,-226.85
44474.7,0
44474.75,197
44474.79,0
44474.83,0
44474.87,35.89
44474.91,349.67
44474.95,0
44475,77.26
44475.04,77.52
44475.08,349.28
44475.12,16.71
44475.16,276.1
44475.2,256.49
44475.25,107.26
44475.29,0
44475.33,0
44475.37,0
44475.41,-233.04
44475.45,-320.55
44475.5,-248.62
44475.54,-71.69
44475.58,-86.71
44475.62,-58.29
44475.66,-54.55
44475.7,-28.73
44475.75,0
44475.79,-30.61
44475.83,-49.76
44475.87,-77.53
44475.91,0
44475.95,-82.63
44476,-1
44476.04,0
44476.08,19.74
44476.12,82.12
44476.16,270.28
44476.2,0
44476.25,183.94
44476.29,309.75
44476.33,0
44476.37,0
44476.41,-58.57
44476.45,-164.42
44476.5,-32.85
44476.54,-166.75
44476.58,-65.94
44476.62,0
44476.66,0
44476.7,0
44476.75,0
44476.79,0
44476.83,0
44476.87,0
44476.91,-97.33
44476.95,0
44477,0
44477.04,0
44477.08,-156.2
44477.12,0
44477.16,307.49
44477.2,0
44477.25,0
44477.29,44.25
44477.33,0
44477.37,-48.99
44477.41,-104.63
44477.45,0
44477.5,0
44477.54,0
44477.58,0
44477.62,-69.5
44477.66,-95.18
44477.7,-37.34
44477.75,-13.94
44477.79,-22.71
44477.83,0
44477.87,0
44477.91,175.89
44477.95,133.36
44478,115.82
44478.04,0
44478.08,352.91
44478.12,79.88
44478.16,472.03
44478.2,0
44478.25,76.37
44478.29,394.77
44478.33,0
44478.37,0
44478.41,0
44478.45,-63.26
44478.5,0
44478.54,0
44478.58,-208.06
44478.62,-95.47
44478.66,-92.66
44478.7,0
44478.75,-534.7
44478.79,0
44478.83,35.78
44478.87,0
44478.91,11.19
44478.95,152.64
44479,180.38
44479.04,0
44479.08,244.72
44479.12,0
44479.16,0
44479.2,0
44479.25,136.28
44479.29,0
44479.33,0
44479.37,0
44479.41,-109.84
44479.45,0
44479.5,281.3
44479.54,0
44479.58,0
44479.62,331.91
44479.66,429.97
44479.7,0
44479.75,-299.59
44479.79,-730.27
44479.83,0
44479.87,0
44479.91,-184.89
44479.95,0
44480,0
44480.04,-175.71
44480.08,0
44480.12,0
44480.16,0
44480.2,0
44480.25,0
44480.29,115.44
44480.33,0
44480.37,0
44480.41,0
44480.45,0
44480.5,0
44480.54,0
44480.58,0
44480.62,0
44480.66,0
44480.7,0
44480.75,0
44480.79,15.55
44480.83,0
44480.87,0
44480.91,70.54
44480.95,137.82
44481,0
44481.04,0
44481.08,193.35
44481.12,0
44481.16,0
44481.2,0
44481.25,86.83
44481.29,0
44481.33,0
44481.37,-104.15
44481.41,0
44481.45,60.37
44481.5,0
44481.54,0
44481.58,0
44481.62,48.65
44481.66,0
44481.7,-46.07
44481.75,0
44481.79,41.37
44481.83,0
44481.87,0
44481.91,79.83
44481.95,125.66
44482,35.39
44482.04,36.75
44482.08,115.57
44482.12,0
44482.16,0
44482.2,0
44482.25,0
44482.29,0
44482.33,-336.08
44482.37,-161.65
44482.41,0
44482.45,0
44482.5,0
44482.54,90.22
44482.58,103.08
44482.62,0
44482.66,0
44482.7,0
44482.75,-99.09
44482.79,0
44482.83,-13.72
44482.87,0
44482.91,9.59
44482.95,0
44483,36.05
44483.04,14.3
44483.08,0
44483.12,0
44483.16,20.59
44483.2,227.83
44483.25,141.56
44483.29,0
44483.33,-414.57
44483.37,-175.94
44483.41,0
44483.45,0
44483.5,0
44483.54,0
44483.58,21.91
44483.62,0
44483.66,0
44483.7,0
44483.75,58.66
44483.79,0
44483.83,-77.58
44483.87,0
44483.91,49.67
44483.95,0
44484,-10.9
