$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:20.      

JDAY,T(C)
  40573.2500,  -99.00
  40573.2920,  -99.00
  40573.3335,  -99.00
  40573.3750,  -99.00
  40573.4169,  -99.00
  40573.4585,  -99.00
  40573.5000,  -99.00
  40573.5418,  -99.00
  40573.5835,  -99.00
  40573.6250,  -99.00
  40573.6669,  -99.00
  40573.7086,  -99.00
  40573.7500,  -99.00
  40573.7920,  -99.00
  40573.8336,  -99.00
  40573.8750,  -99.00
  40573.9171,  -99.00
  40573.9586,  -99.00
  40574.0000,  -99.00
  40574.0418,  -99.00
  40574.0836,  -99.00
  40574.1250,  -99.00
  40574.1672,  -99.00
  40574.2085,  -99.00
  40574.2500,  -99.00
  40574.2923,  -99.00
  40574.3336,  -99.00
  40574.3750,  -99.00
  40574.4168,  -99.00
  40574.4585,  -99.00
  40574.5000,  -99.00
  40574.5421,  -99.00
  40574.5835,  -99.00
  40574.6250,  -99.00
  40574.6673,  -99.00
  40574.7085,  -99.00
  40574.7500,  -99.00
  40574.7918,  -99.00
  40574.8335,  -99.00
  40574.8750,  -99.00
  40574.9170,  -99.00
  40574.9585,  -99.00
  40575.0000,  -99.00
  40575.0417,  -99.00
  40575.0834,  -99.00
  40575.1250,  -99.00
  40575.1666,  -99.00
  40575.2084,  -99.00
  40575.2500,  -99.00
  40575.2918,  -99.00
  40575.3334,  -99.00
  40575.3750,  -99.00
  40575.4169,  -99.00
  40575.4585,  -99.00
  40575.5000,  -99.00
  40575.5420,  -99.00
  40575.5835,  -99.00
  40575.6250,  -99.00
  40575.6673,  -99.00
  40575.7085,  -99.00
  40575.7500,  -99.00
  40575.7923,  -99.00
  40575.8335,  -99.00
  40575.8750,  -99.00
  40575.9167,  -99.00
  40575.9585,  -99.00
  40576.0000,  -99.00
  40576.0418,  -99.00
  40576.0835,  -99.00
  40576.1250,  -99.00
  40576.1669,  -99.00
  40576.2085,  -99.00
  40576.2500,  -99.00
  40576.2919,  -99.00
  40576.3335,  -99.00
  40576.3750,  -99.00
  40576.4170,  -99.00
  40576.4585,  -99.00
  40576.5000,  -99.00
  40576.5422,  -99.00
  40576.5836,  -99.00
  40576.6250,  -99.00
  40576.6672,  -99.00
  40576.7086,  -99.00
  40576.7500,  -99.00
  40576.7922,  -99.00
  40576.8335,  -99.00
  40576.8750,  -99.00
  40576.9172,  -99.00
  40576.9585,  -99.00
  40577.0000,  -99.00
  40577.0417,  -99.00
  40577.0835,  -99.00
  40577.1250,  -99.00
  40577.1669,  -99.00
  40577.2085,  -99.00
  40577.2500,  -99.00
  40577.2923,  -99.00
  40577.3336,  -99.00
  40577.3750,  -99.00
  40577.4174,  -99.00
  40577.4585,  -99.00
  40577.5000,  -99.00
  40577.5418,  -99.00
  40577.5835,  -99.00
  40577.6250,  -99.00
  40577.6670,  -99.00
  40577.7085,  -99.00
  40577.7500,  -99.00
