$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44210.21,-3.91,-6.01,1.56,2.88,0.38,583.17
44210.25,-4.72,-6.48,2.18,2.91,0.31,583.1
44210.29,-4.98,-6.7,2.02,2.91,0.42,583.16
44210.33,-4.84,-6.74,2.22,2.9,0.45,583.18
44210.38,-4.02,-6.53,1.54,2.99,0.23,583.4
44210.42,3.24,-2.48,1.33,2.9,0.08,583.69
44210.46,4.19,-1.49,1.05,3.02,0.11,583.84
44210.5,5.57,-1.94,0.94,0.22,0,583.45
44210.54,10.67,-1.9,0.9,0.88,0,582.74
44210.58,10.73,-1.71,0.96,1.34,0,581.81
44210.62,10.67,-1.31,1.02,1.82,0,581.37
44210.67,11.49,-0.7,1.04,2.11,0,581
44210.71,11.29,0.2,0.92,2.22,0,581.2
44210.75,7.8,-0.62,1,1.2,0,581.09
44210.79,7.81,-0.35,1.04,0.16,0,581.27
44210.83,7.16,-0.71,1.36,0.03,0,581.67
44210.88,6.38,-1.2,1.27,2.97,0.06,581.87
44210.92,4.59,-1.79,1.27,2.91,0.06,582.33
44210.96,0.74,-2.99,1.45,2.92,0.06,582.23
44211,0.27,-3.38,1.64,2.95,0,582.5
44211.04,-0.32,-3.67,1.67,2.93,0,582.29
44211.08,-0.38,-3.94,1.66,2.85,0,582.29
44211.12,-0.36,-4.11,1.5,2.79,0.04,582.33
44211.17,-0.88,-4.31,1.33,2.7,0.6,582.25
44211.21,-1.23,-4.4,1.18,2.72,0.57,582.12
44211.25,-2,-4.77,1.26,2.86,0.57,581.66
44211.29,-2.17,-4.78,1.31,2.72,0.34,581.98
44211.33,-2.27,-4.91,1.15,2.73,0.41,582.4
44211.38,-1.77,-4.51,0.77,2.8,0.33,582.55
44211.42,4.05,-1.24,0.81,2.37,0.37,582.87
44211.46,4.78,-1.01,0.58,1.29,0.58,583.35
44211.5,5.16,-0.86,0.73,0.62,0.36,583.09
44211.54,8.76,-0.17,0.93,0.27,0.21,582.29
44211.58,8.23,0.51,1.15,0.24,0.11,581.39
44211.62,8.1,1.09,1.29,0.2,0.12,581.04
44211.67,8.56,1.6,1.46,0.25,0.4,580.92
44211.71,7.82,1.96,1.44,0.27,0.48,580.97
44211.75,2.35,0.68,1.11,0.12,0.45,581.05
44211.79,2.75,0.71,0.44,1.35,0.64,581.19
44211.83,2.51,0.6,0.6,2.26,0.59,581.54
44211.88,2.69,0.79,0.83,1.84,0.52,581.83
44211.92,1.59,-0.03,1.05,1.45,2.61,582.32
44211.96,-0.22,-1.18,1.37,1.27,6.04,582.45
44212,-0.19,-1.35,1.43,1.21,8.72,582.78
44212.04,-0.85,-1.69,1.45,1.08,8.91,582.97
44212.08,-0.45,-1.41,1.39,1.02,9.22,583.06
44212.12,-0.38,-1.1,1.38,0.97,8.72,582.97
44212.17,-0.6,-1.17,0.96,0.98,9.98,583.24
44212.21,-0.55,-1.31,1.07,1.01,9.98,582.88
44212.25,-1.21,-1.66,1.28,0.79,10,583.12
44212.29,-1.17,-1.85,1.15,0.99,9.94,583.19
44212.33,-0.84,-1.8,0.93,0.87,10,583.53
44212.38,-1.3,-2.24,1.06,0.82,10,583.94
44212.42,-0.91,-2.3,1.22,0.69,9.68,584.4
44212.46,-1.45,-2.95,1.4,0.52,9.48,584.61
44212.5,-1.74,-2.71,1.61,0.49,9.13,584.4
44212.54,-0.71,-2,1.74,0.52,9.56,583.89
44212.58,-0.74,-1.93,1.78,0.5,9.39,583.3
44212.62,-0.85,-1.82,1.83,0.47,9.33,582.98
44212.67,-1.61,-2.08,1.82,0.49,9.91,583.34
44212.71,-1.67,-2.02,1.63,0.5,9.67,583.95
44212.75,-2.29,-2.51,1.65,0.6,9.9,585.39
44212.79,-1.99,-2.4,1.62,0.58,10,585.6
44212.83,-1.95,-2.69,1.84,0.62,9.63,586.42
44212.88,-1.78,-2.87,2.02,0.68,9.92,587.32
44212.92,-1.84,-3.24,1.94,0.67,9.85,588.17
44212.96,-3.49,-4.37,2.28,0.72,9.89,588.95
44213,-3.32,-4.52,2.43,0.77,10,589.78
44213.04,-3.71,-4.95,2.4,0.78,10,590.71
44213.08,-4.01,-5.29,2.45,0.78,9.92,591.15
44213.12,-4.24,-5.62,2.07,0.79,9.96,591.56
44213.17,-5.26,-6.53,1.86,0.82,9.96,591.62
44213.21,-5.21,-6.42,1.96,0.91,10,591.68
44213.25,-6.19,-7.25,1.76,0.91,9.69,591.33
44213.29,-6.26,-7.34,1.49,0.97,9.89,591.4
44213.33,-5.99,-7.05,1.23,1.04,9.55,591.41
44213.38,-5.95,-7.43,1.04,1.26,9.47,591.92
44213.42,-5.2,-7.48,1.03,1.38,9.55,591.76
44213.46,-5.09,-7.58,0.93,1.27,9.68,591.79
44213.5,-5.17,-7.2,0.76,1.33,9.02,591.54
44213.54,-3.52,-6.76,0.63,1.49,9.15,590.47
44213.58,-3.32,-6.44,0.45,1.82,9.03,589.69
44213.62,-2.96,-6.4,0.35,1.95,9.01,588.9
44213.67,-2.21,-5.34,0.37,1.65,8.51,588.55
