$Water balance Flows: computed flow to complete water balance,
XSJH,
JDAY,QWB
44467.62,0
44467.66,0
44467.7,0
44467.75,35.82
44467.79,0
44467.83,1
44467.87,0
44467.91,24.78
44467.95,0
44468,26.7
44468.04,38.11
44468.08,22.49
44468.12,2.51
44468.16,37.94
44468.2,0
44468.25,25.77
44468.29,40.84
44468.33,0
44468.37,0
44468.41,0
44468.45,14.96
44468.5,0
44468.54,0
44468.58,0
44468.62,20
44468.66,0
44468.7,0
44468.75,23.16
44468.79,26.41
44468.83,0
44468.87,20.47
44468.91,11.64
44468.95,31.85
44469,5.01
44469.04,34.69
44469.08,18.87
44469.12,24.58
44469.16,39.16
44469.2,0
44469.25,26.82
44469.29,32.96
44469.33,1.85
44469.37,3.79
44469.41,22.5
44469.45,9.84
44469.5,7.38
44469.54,3.4
44469.58,25.97
44469.62,9.59
44469.66,16.79
44469.7,4.37
44469.75,6.32
44469.79,14.85
44469.83,8.5
44469.87,25.05
44469.91,11.26
44469.95,0
44470,39.99
44470.04,65.96
44470.08,40.12
44470.12,63.5
44470.16,44.88
44470.2,0
44470.25,-72.54
44470.29,0
44470.33,0
44470.37,0
44470.41,-24.36
44470.45,0
44470.5,0
44470.54,0
44470.58,-94.51
44470.62,0
44470.66,0
44470.7,0
44470.75,-44.68
44470.79,0
44470.83,109.68
44470.87,0
44470.91,0
44470.95,47.64
44471,42.3
44471.04,63.12
44471.08,90.97
44471.12,0
44471.16,0
44471.2,0.17
44471.25,20.08
44471.29,0
44471.33,-21.12
44471.37,-1.81
44471.41,-46.42
44471.45,0
44471.5,-9.66
44471.54,0
44471.58,0
44471.62,0
44471.66,-21.68
44471.7,0
44471.75,6.77
44471.79,0
44471.83,0
44471.87,65.68
44471.91,61.98
44471.95,50.8
44472,16.41
44472.04,0
44472.08,0
44472.12,0
44472.16,99.72
44472.2,0
44472.25,-17.92
44472.29,0
44472.33,27.44
44472.37,0
44472.41,-131.43
44472.45,0
44472.5,-27.62
44472.54,0
44472.58,0
44472.62,0
44472.66,0
44472.7,-12.04
44472.75,0
44472.79,0
44472.83,0
44472.87,25.07
44472.91,55.2
44472.95,58.05
44473,11.02
44473.04,0
44473.08,0
44473.12,0
44473.16,144.83
44473.2,0
44473.25,-6.53
44473.29,0
44473.33,48.12
44473.37,0
44473.41,0
44473.45,0
44473.5,0
44473.54,-17.29
44473.58,0
44473.62,0
44473.66,0
44473.7,0
44473.75,5.48
44473.79,1
44473.83,0
44473.87,1.95
44473.91,46.98
44473.95,0
44474,20.82
44474.04,20.65
44474.08,72.38
44474.12,0
44474.16,24.66
44474.2,24.49
44474.25,12.5
44474.29,0
44474.33,-8.78
44474.37,0
44474.41,0
44474.45,0
44474.5,-128.04
44474.54,0
44474.58,106.02
44474.62,0
44474.66,-50.96
44474.7,0
44474.75,44.25
44474.79,0
44474.83,0
44474.87,8.06
44474.91,78.55
44474.95,0
44475,17.35
44475.04,17.41
44475.08,78.46
44475.12,3.75
44475.16,62.02
44475.2,57.62
44475.25,24.09
44475.29,0
44475.33,0
44475.37,0
44475.41,-52.35
44475.45,-72.01
44475.5,-55.85
44475.54,-16.1
44475.58,-19.48
44475.62,-13.09
44475.66,-12.25
44475.7,-6.45
44475.75,0
44475.79,-6.87
44475.83,-11.18
44475.87,-17.42
44475.91,0
44475.95,-18.56
44476,-0.22
44476.04,0
44476.08,4.43
44476.12,18.45
44476.16,60.71
44476.2,0
44476.25,41.32
44476.29,69.58
44476.33,0
44476.37,0
44476.41,-13.16
44476.45,-36.93
44476.5,-7.38
44476.54,-37.46
44476.58,-14.81
44476.62,0
44476.66,0
44476.7,0
44476.75,0
44476.79,0
44476.83,0
44476.87,0
44476.91,-21.86
44476.95,0
44477,0
44477.04,0
44477.08,-35.09
44477.12,0
44477.16,69.07
44477.2,0
44477.25,0
44477.29,9.94
44477.33,0
44477.37,-11.01
44477.41,-23.5
44477.45,0
44477.5,0
44477.54,0
44477.58,0
44477.62,-15.61
44477.66,-21.38
44477.7,-8.39
44477.75,-3.13
44477.79,-5.1
44477.83,0
44477.87,0
44477.91,39.51
44477.95,29.96
44478,26.02
44478.04,0
44478.08,79.27
44478.12,17.94
44478.16,106.03
44478.2,0
44478.25,17.15
44478.29,88.68
44478.33,0
44478.37,0
44478.41,0
44478.45,-14.21
44478.5,0
44478.54,0
44478.58,-46.74
44478.62,-21.45
44478.66,-20.81
44478.7,0
44478.75,-120.11
44478.79,0
44478.83,8.04
44478.87,0
44478.91,2.51
44478.95,34.29
44479,40.52
44479.04,0
44479.08,54.97
44479.12,0
44479.16,0
44479.2,0
44479.25,30.61
44479.29,0
44479.33,0
44479.37,0
44479.41,-24.67
44479.45,0
44479.5,63.19
44479.54,0
44479.58,0
44479.62,74.56
44479.66,96.58
44479.7,0
44479.75,-67.3
44479.79,-164.04
44479.83,0
44479.87,0
44479.91,-41.53
44479.95,0
44480,0
44480.04,-39.47
44480.08,0
44480.12,0
44480.16,0
44480.2,0
