$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44213.75,-0.04,-6.39,0.68,0.09,7.49,600.62
44213.79,0.25,-5.85,0.98,0.12,7.19,600.55
44213.83,0.34,-5.93,0.69,2.72,6.57,600.79
44213.88,0.08,-5.65,0.83,2,6.87,600.58
44213.92,0.01,-4.98,0.9,1.69,7.77,600.74
44213.96,-0.55,-5.59,0.92,1.43,8.84,600.75
44214,-0.86,-5.73,1.03,1.34,8.61,600.74
44214.04,-1.28,-5.91,1.28,1.22,7.64,600.51
44214.08,-1.44,-5.97,1.45,1.16,5.71,600.15
44214.12,-1.58,-6.06,1.54,1.17,3.61,599.75
44214.17,-2.51,-6.42,1.45,1.21,1.43,599.48
44214.21,-2.7,-6.57,1.42,1.25,0.9,599.21
44214.25,-3.27,-7.08,1.4,1.28,0.18,599.18
44214.29,-3.2,-7.01,1.5,1.32,0,599
44214.33,-3.1,-6.94,1.63,1.32,0,599.12
44214.38,-3.4,-6.73,1.32,1.15,0,599.44
44214.42,1.81,-4.07,1.44,1,0,599.5
44214.46,2.54,-4.29,1.52,1,0,599.39
44214.5,3.41,-4.32,1.5,0.96,0,598.75
44214.54,8.29,-3.13,1.52,0.97,0,597.76
44214.58,8.68,-3.45,1.58,1.04,0,596.61
44214.62,8.97,-3.8,1.69,1.02,0,595.91
44214.67,10.38,-4.65,1.69,1.05,0,595.21
44214.71,10.41,-5.02,1.63,1.09,0,594.96
44214.75,6.15,-2,1.4,1.11,0,594.77
44214.79,8.29,-6.78,1.2,1.08,0,594.87
44214.83,7.78,-6.63,1.25,1.25,0,594.78
44214.88,7.3,-6.38,1.45,1.18,0,594.43
44214.92,6.44,-5.8,1.53,1.11,0,594.32
44214.96,3.4,-4.88,1.54,1.02,0,594.25
44215,2.94,-4.82,1.61,0.98,0.11,594.02
44215.04,2.02,-4.38,1.66,1.01,0.17,593.52
44215.08,1.73,-4.24,1.74,1.09,0.24,592.94
44215.12,1.39,-4.11,1.77,1.09,0.19,592.44
44215.17,1.04,-3.92,1.77,1.1,0.22,592.12
44215.21,0.93,-3.78,1.82,1.08,0.17,591.57
44215.25,0.87,-3.37,2.21,0.89,0.12,591.57
44215.29,0.87,-3.35,2.19,0.91,0,591.3
44215.33,0.69,-3.33,2.02,0.94,0,591.73
44215.38,-0.39,-3.37,1.64,1.02,0.04,591.93
44215.42,6.06,-0.54,1.43,0.93,0.04,592.27
44215.46,7.24,0.2,1.71,0.84,0.02,592.25
44215.5,8.09,1.01,2.03,0.72,0,591.85
44215.54,12.73,0.9,2.25,0.66,0,591.17
44215.58,13.11,1,2.41,0.65,0.23,590.3
44215.62,13.77,-0.06,2.88,0.58,1.57,589.72
44215.67,13.39,-1.05,2.87,0.6,2.47,589.67
44215.71,12.89,-1.08,1.89,0.69,1.04,589.84
44215.75,9.52,2.3,1,0.96,0.3,589.93
44215.79,11.25,-1.01,0.35,1.89,0.51,590.14
44215.83,9.92,-0.82,0.69,0.22,0.9,590.83
44215.88,8.46,-0.29,1.45,0.45,1.7,590.85
44215.92,7.08,0.43,1.74,0.39,2.37,591.25
44215.96,4.38,0.27,1.81,0.43,4.93,591.59
