group,year,neff,input_samples,representable_samples,representable_percent,stage_bias_m,stage_mae_m,stage_rmse_m,stage_correlation,stage_within_0p5m_percent,stage_within_1p0m_percent,samples,bias_m3s,mae_m3s,rmse_m3s,median_ratio,within_20pct_percent
stable,2025,0.075,2658,2658,100.0,0.810268598159917,0.8102759523126544,1.040425202968709,0.9969734950103322,44.24379232505643,72.23476297968398,2658,-894.9594471292977,894.9655260811508,937.2509544221112,0.6522124267716645,16.365688487584652
stage_moving_or_mixed,2020,0.07,28,28,100.0,-0.22879669408385034,0.542242053201148,0.8129813233825216,0.9813606520157278,75.0,78.57142857142857,28,343.63234796969704,993.7719346024162,1407.8583738573952,0.7342688583302763,0.0
stage_moving_or_mixed,2020,0.0725,28,28,100.0,-0.2004131785890471,0.5600256974257637,0.809844502397193,0.9809014158413217,75.0,78.57142857142857,28,277.9173342015828,984.5505508234927,1345.2647273491364,0.7074906429598667,0.0
stage_moving_or_mixed,2020,0.075,28,28,100.0,-0.17151653295113484,0.5782154780050064,0.8078868039711793,0.9803603825823498,75.0,78.57142857142857,28,216.8790086744229,975.9186521527926,1289.0668663784497,0.6826437220404722,0.0
stage_moving_or_mixed,2021,0.07,3197,2528,79.07413199874883,0.17117952264910216,1.373041352895076,1.9712980055508211,0.96136408436801,39.94369721614014,57.77291210509853,3116,-483.19045510514235,777.144784141603,1045.3991808834771,0.7358471607919854,42.23363286264441
stage_moving_or_mixed,2021,0.0725,3197,2527,79.04285267438223,0.27794144293662176,1.4033466778895725,2.004038085949119,0.9606076549664947,41.351266812636844,56.67813575226776,3116,-594.8030335223827,791.3673786424679,1024.7401096635833,0.7090700708576151,40.436456996148905
stage_moving_or_mixed,2021,0.075,3197,2526,79.01157335001564,0.38401418262418385,1.4636206263088365,2.0445023036286702,0.959764077431852,36.127619643415706,54.42602439787301,3116,-698.5862665299453,837.5088566567997,1026.2302436380207,0.6844836071834492,37.48395378690629
stage_moving_or_mixed,2022,0.07,2756,2532,91.8722786647315,0.8166629493426938,1.2045372382924162,1.7319482603914904,0.9618572145734989,41.9811320754717,57.07547169811321,2756,-586.2737868284104,759.82810855719,978.8252646871873,0.7035112187719528,43.72278664731495
stage_moving_or_mixed,2022,0.0725,2756,2516,91.29172714078373,0.9502009230814541,1.2389727160011206,1.7898587163053572,0.9626244548134296,42.126269956458636,57.692307692307686,2756,-690.7450328541595,781.7013447375717,998.4609870590442,0.678080988931713,42.23512336719884
stage_moving_or_mixed,2022,0.075,2756,2506,90.9288824383164,1.0886781289107241,1.3200863714402666,1.8616513540200204,0.9631043997241735,34.25253991291727,56.8577648766328,2756,-787.8305685925774,833.723907993115,1031.9253869065094,0.6540545927758554,39.80406386066763
stage_moving_or_mixed,2023,0.07,3167,2026,63.972213451215666,-0.3168119846468053,1.274156555874499,1.6509343076579421,0.9602327671456623,34.25955162614462,48.121250394695295,3167,-562.4227408366753,637.9046723212876,736.2435230504776,0.7478413875301998,41.774550047363434
