group,year,derivative_window_hours,samples,median_storage_rate_m3s,p10_storage_rate_m3s,p90_storage_rate_m3s,closure_bias_m3s,closure_mae_m3s,closure_rmse_m3s,closure_median_ratio,closure_within_20pct_percent
stage_moving_or_mixed,2020,12,25,-20.809769965614088,-36.08846533684646,124.6076284637723,377.8828874690436,1073.3136196666567,1451.6558419837709,0.7120782614095602,0.0
stage_moving_or_mixed,2021,12,3086,3.907322531182457,-87.19385200575184,111.30667896895825,-588.4961494530949,805.7269775582944,1038.4919452508123,0.7217015228046644,40.08425145819832
stage_moving_or_mixed,2022,12,2739,-8.786781872767541,-119.15755788315101,129.37108536305578,-694.7535421405705,810.9336089581243,1030.5917773119113,0.6728510947798984,42.46075209930631
stage_moving_or_mixed,2023,12,3118,-5.371944883247768,-110.24284802397166,146.82090012934003,-662.9570098014192,709.8777532681083,777.5461792587106,0.7271086894873893,35.76010262989095
stage_moving_or_mixed,2024,12,3373,4.845831958710871,-74.48631550110683,83.76982294122614,-811.154856235826,859.9538971699471,949.0748976062945,0.6238246260227536,33.14556774384821
stage_moving_or_mixed,2025,12,2999,-10.37906128323499,-73.1192086061558,86.25433862104295,-778.4466034237914,810.1189669940304,900.4267167915541,0.693489736668882,35.578526175391794
all,2020,24,154,-8.082719145244745,-24.53836493413773,10.734071756819878,-180.3373425192269,703.4382064292221,967.2685153872318,0.6695576831810871,1.2987012987012987
all,2021,24,7785,-0.18231158660845487,-49.009275704565354,57.59066199040523,-594.9046103884046,821.2884262866927,1059.781133307921,0.7009608732115931,38.689788053949904
all,2022,24,7761,-2.6789852948065986,-53.56456069846672,55.58162056272022,-696.3095734607772,815.1507403812756,1077.1652185434803,0.691776325186547,41.55392346347121
all,2023,24,8263,0.34828541707868377,-27.994147357167535,40.38502219917635,-681.9552198371749,722.0113389665992,803.244597695623,0.7471197292213485,39.646617451288876
all,2024,24,8660,0.06568325147127595,-37.12641019769898,34.22090079683703,-656.3093721328609,733.8375039248895,844.0796279825722,0.7670983956712532,45.26558891454965
all,2025,24,8242,0.6658704786551082,-32.399551166527885,34.97275500629017,-704.0792039947381,747.9822919681807,834.7169400752789,0.7698534991594379,44.879883523416645
falling_flow,2020,24,0,,,,,,,,
falling_flow,2021,24,569,-11.528750917596259,-99.12882322977559,89.68580246271874,-307.50812374382906,737.2518643390476,1150.2660698250656,0.911752849219287,68.89279437609842
falling_flow,2022,24,981,-5.53067538157002,-90.7300313469195,87.55922507257175,-483.73458686943957,826.2982635490159,1201.2608142905501,0.903650586590605,53.41488277268094
falling_flow,2023,24,1455,3.9921925673509637,-31.03558102823725,46.66505158827902,-530.4808928709117,657.7110118939684,770.78556955668,0.829317719621522,54.70790378006873
falling_flow,2024,24,1784,-1.352946963610119,-39.63352384318218,32.341053792209124,-309.95543621525314,554.9812502050223,665.6367916012022,0.9021609501778853,67.76905829596413
falling_flow,2025,24,1301,8.604833027447436,-23.950831846967425,41.86915243978439,-376.2280025364055,542.8041149040065,651.1032541695022,0.910993575162709,76.40276710222905
rising_flow,2020,24,0,,,,,,,,
rising_flow,2021,24,584,13.917856369030282,-59.74847880861017,179.7804429152481,-297.699419228087,594.72595232087,802.5730531948133,0.9389093784793467,75.51369863013699
rising_flow,2022,24,949,2.818151770725812,-59.030412106989694,109.78332486181225,-764.4528271953671,1004.8627601296087,1421.4081852141753,0.8090193223545751,46.68071654373024
