JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40562.502,    73.521,    23.657,     4.059,     0.451,  6938.643,     0.000,     0.000,    19.651,  2898.534,     1.000,     4.059,   -46.186,     0.000,   282.960,   325.374,     6.862,    -3.090,     0.000,
 40562.544,    72.474,    23.645,     4.054,     0.422,  6959.718,     0.000,     0.000,    19.639,  2898.534,     1.000,     4.054,   -43.505,     0.000,   283.892,   325.347,     7.436,    -5.386,     0.000,
 40562.585,    90.080,    23.649,     4.042,     0.284,  6435.683,     0.000,     0.000,    19.643,  2898.534,     1.000,     4.042,   -80.438,     0.000,   247.925,   325.294,    11.875,    -8.806,     0.000,
 40562.627,    88.617,    23.640,     4.014,     0.296,  6667.959,     0.000,     0.000,    19.634,  2898.534,     1.000,     4.014,   -85.813,     0.000,   240.056,   325.168,     7.579,    -6.877,     0.000,
 40562.669,    88.996,    23.637,     3.975,     0.310,  7002.445,     0.000,     0.000,    19.631,  2898.534,     1.000,     3.969,   -65.590,     0.000,   261.505,   324.907,     7.230,    -5.042,     0.000,
 40562.710,    87.089,    23.638,     3.934,     0.313,  7095.888,     0.000,     0.000,    19.632,  2898.534,     1.000,     3.915,   -71.358,     0.000,   260.038,   324.619,     7.262,    -0.484,     0.000,
 40562.752,    87.417,    23.629,     3.879,     0.319,  7160.659,     0.000,     0.000,    19.623,  2898.534,     1.000,     3.860,   -91.888,     0.000,   240.499,   324.338,     9.065,    -1.016,     0.000,
 40562.794,    82.774,    23.626,     3.833,     0.319,  7227.700,     0.000,     0.000,    19.620,  2898.534,     1.000,     3.817,   -80.539,     0.000,   247.206,   324.138,     5.140,    -1.532,     0.000,
 40562.835,    85.919,    23.622,     3.810,     0.325,  7280.907,     0.000,     0.000,    19.616,  2898.534,     1.000,     3.799,   -50.560,     0.000,   278.772,   324.077,     5.690,    -0.435,     0.000,
 40562.877,    89.475,    23.619,     3.800,     0.326,  7363.774,     0.000,     0.000,    19.613,  2898.534,     1.000,     3.793,   -53.872,     0.000,   279.038,   324.090,     9.660,    -0.840,     0.000,
