$,
XXH,
JDAY,DGP
44224.54,1.2
44224.58,1.2
44224.62,1.2
44224.67,1.2
44224.71,1.2
44224.75,1.2
44224.79,1.2
44224.83,1.2
44224.88,1.2
44224.92,1.2
44224.96,1.2
44225,1.2
44225.04,1.2
44225.08,1.2
44225.12,1.2
44225.17,1.2
44225.21,1.2
44225.25,1.2
44225.29,1.2
44225.33,1.2
44225.38,1.2
44225.42,1.2
44225.46,1.2
44225.5,1.2
44225.54,1.2
44225.58,1.2
44225.62,1.2
44225.67,1.2
44225.71,1.2
44225.75,1.2
44225.79,1.2
44225.83,1.2
44225.88,1.2
44225.92,1.2
44225.96,1.2
44226,1.2
44226.04,1.2
44226.08,1.2
44226.12,1.2
44226.17,1.2
44226.21,1.2
44226.25,1.2
44226.29,1.2
44226.33,1.2
44226.38,1.2
44226.42,1.2
44226.46,1.2
44226.5,1.2
44226.54,1.2
44226.58,1.2
44226.62,1.2
44226.67,1.2
44226.71,1.2
44226.75,1.2
44226.79,1.2
44226.83,1.2
44226.88,1.2
44226.92,1.2
44226.96,1.2
44227,1.2
44227.04,1.2
44227.08,1.2
44227.12,1.2
44227.17,1.2
44227.21,1.2
44227.25,1.2
44227.29,1.2
44227.33,1.2
44227.38,1.2
44227.42,1.2
44227.46,1.2
44227.5,1.2
44227.54,1.2
44227.58,1.2
44227.62,1.2
44227.67,1.2
44227.71,1.2
44227.75,1.2
44227.79,1.2
44227.83,1.2
44227.88,1.2
44227.92,1.2
44227.96,1.2
44228,1.2
44228.04,1.2
44228.08,1.2
44228.12,1.2
44228.17,1.2
44228.21,1.2
44228.25,1.2
44228.29,1.2
44228.33,1.2
44228.38,1.2
44228.42,1.2
44228.46,1.2
44228.5,1.2
44228.54,1.2
44228.58,1.2
44228.62,1.2
44228.67,1.2
44228.71,1.2
44228.75,1.2
44228.79,1.2
44228.83,1.2
44228.88,1.2
44228.92,1.2
44228.96,1.2
44229,1.2
44229.04,1.2
44229.08,1.2
44229.12,1.2
44229.17,1.2
44229.21,1.2
44229.25,1.2
44229.29,1.2
44229.33,1.2
44229.38,1.2
44229.42,1.2
44229.46,1.2
44229.5,1.2
44229.54,1.2
44229.58,1.2
44229.62,1.2
44229.67,1.2
44229.71,1.2
44229.75,1.2
44229.79,1.2
44229.83,1.2
44229.88,1.2
44229.92,1.2
44229.96,1.2
44230,1.2
44230.04,1.2
44230.08,1.2
44230.12,1.2
44230.17,1.2
44230.21,1.2
44230.25,1.2
44230.29,1.2
44230.33,1.2
44230.38,1.2
44230.42,1.2
44230.46,1.2
44230.5,1.2
44230.54,1.2
44230.58,1.2
44230.62,1.2
44230.67,1.2
44230.71,1.2
44230.75,1.2
44230.79,1.2
44230.83,1.2
44230.88,1.2
44230.92,1.2
44230.96,1.2
44231,1.2
44231.04,1.2
44231.08,1.2
44231.12,1.2
44231.17,1.2
44231.21,1.2
44231.25,1.2
44231.29,1.2
44231.33,1.2
44231.38,1.2
44231.42,1.2
44231.46,1.2
44231.5,1.2
44231.54,1.2
44231.58,1.2
44231.62,1.2
44231.67,1.2
44231.71,1.2
44231.75,1.2
44231.79,1.2
44231.83,1.2
44231.88,1.2
44231.92,1.2
44231.96,1.2
44232,1.2
44232.04,1.2
44232.08,1.2
44232.12,1.2
44232.17,1.2
44232.21,1.2
44232.25,1.2
44232.29,1.2
44232.33,1.2
44232.38,1.2
44232.42,1.2
44232.46,1.2
44232.5,1.2
44232.54,1.2
44232.58,1.2
44232.62,1.2
44232.67,1.2
44232.71,1.2
44232.75,1.2
44232.79,1.2
44232.83,1.2
44232.88,1.2
44232.92,1.2
44232.96,1.2
44233,1.2
44233.04,1.2
44233.08,1.2
44233.12,1.2
44233.17,1.2
44233.21,1.2
44233.25,1.2
44233.29,1.2
44233.33,1.2
44233.38,1.2
44233.42,1.2
44233.46,1.2
44233.5,1.2
44233.54,1.2
44233.58,1.2
44233.62,1.2
44233.67,1.2
44233.71,1.2
44233.75,1.2
44233.79,1.2
44233.83,1.2
44233.88,1.2
